rollout/ep_len_mean,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/approx_kl,train/entropy_loss,train/n_updates,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/loss,train/value_loss,train/explained_variance,train/learning_rate
39.02,16384,1,-335.9617919921875,1655,9,,,,,,,,,,
39.07,32768,2,-111.99181365966797,1427,22,0.006281742,-1.6054317489266396,10,0.2,0.036676025390625,-0.0038781877905421426,0.6105000376701355,1.3393064364790916,-0.04936254024505615,0.0003
39.81,49152,3,39.14610290527344,1344,36,0.006459907,-1.5970327392220498,20,0.2,0.042266845703125,-0.004804012081876863,0.5231124758720398,1.252522125840187,0.36021125316619873,0.0003
40.2,65536,4,-52.67054748535156,1303,50,0.005318165,-1.5831622198224067,30,0.2,0.03634033203125,-0.005006691374001093,0.5075404047966003,1.1760317981243134,0.40582746267318726,0.0003
45.62,81920,5,261.58367919921875,1270,64,0.005668943,-1.5739492654800415,40,0.2,0.03204345703125,-0.003318379340635147,0.5930970311164856,1.2005896329879762,0.3961712121963501,0.0003
39.37,98304,6,66.68475341796875,1241,79,0.005984505,-1.5576401129364967,50,0.2,0.031402587890625,-0.003362373109848704,0.4628891944885254,1.1102240890264512,0.48725223541259766,0.0003
43.0,114688,7,181.96136474609375,1219,94,0.0058394857,-1.5421731993556023,60,0.2,0.028009033203125,-0.003248840484593529,0.6059004664421082,1.2278753846883774,0.4572223424911499,0.0003
41.51,131072,8,73.14022827148438,1199,109,0.004703408,-1.538014206290245,70,0.2,0.02489013671875,-0.002624800766352564,0.5511795878410339,1.1975717335939406,0.4750897288322449,0.0003
40.59,147456,9,48.35138702392578,1182,124,0.0040541766,-1.5464731574058532,80,0.2,0.018902587890625,-0.002250844025547849,0.6332986950874329,1.4329271271824837,0.4589945077896118,0.0003
41.61,163840,10,17.064002990722656,1167,140,0.005964471,-1.5457813560962677,90,0.2,0.031463623046875,-0.002563718656892888,0.5448265075683594,1.207315143942833,0.38424527645111084,0.0003
44.39,180224,11,234.45919799804688,1153,156,0.0055034794,-1.5418205171823502,100,0.2,0.036138916015625,-0.0035038746776990593,0.5292593240737915,1.2643541485071181,0.4501188397407532,0.0003
46.66,196608,12,307.2037658691406,1141,172,0.004984933,-1.538150003552437,110,0.2,0.02110595703125,-0.003083749879442621,0.5262463092803955,1.0772884376347065,0.47282636165618896,0.0003
37.71,212992,13,-156.35496520996094,1130,188,0.004796955,-1.526690883934498,120,0.2,0.02657470703125,-0.002681318044778891,0.4942965507507324,1.1555421248078346,0.49897289276123047,0.0003
41.39,229376,14,23.75395965576172,1118,205,0.0049985647,-1.5232318252325059,130,0.2,0.023736572265625,-0.0024208436560002157,0.5233646631240845,1.1467682808637618,0.4682987332344055,0.0003
41.36,245760,15,-2.7835755348205566,1107,221,0.0065402314,-1.5133931398391725,140,0.2,0.034722900390625,-0.003704231121810153,0.6094735264778137,1.207806433737278,0.4779166579246521,0.0003
37.04,262144,16,-223.7863311767578,1093,239,0.005671487,-1.5085278734564782,150,0.2,0.0303955078125,-0.0037324451506719923,0.46258050203323364,1.0187204390764237,0.5120819509029388,0.0003
43.07,278528,17,209.71360778808594,1079,258,0.004697619,-1.5015014946460723,160,0.2,0.0172607421875,-0.001855129181058146,0.5442423820495605,1.192827058583498,0.5041288733482361,0.0003
43.07,294912,18,163.45387268066406,1065,276,0.0050342735,-1.4876025825738908,170,0.2,0.024554443359375,-0.002780808150419034,0.6355324983596802,1.2019559040665626,0.4494350552558899,0.0003
40.67,311296,19,216.4237060546875,1054,295,0.004925011,-1.4918310314416885,180,0.2,0.02843017578125,-0.0031222312623867764,0.4892701506614685,1.1773481905460357,0.5128535330295563,0.0003
